,Vref1,Vref1 Err,Vref2,Vref2 Err,Vref3,Vref3 Err,Vref4,Vref4 Err
0,310,1.75,313,1.75,313,1.75,319,1.75
1,310,1.75,318,1.75,318,1.75,333,1.75
2,310,1.75,319,1.75,319,1.75,337,1.75
3,258,1.49,267,1.49,267,1.49,287,1.49
