,Valore,Errore assoluto,Errore relativo
Periodo (s),1.2396296296296299,0.0009072184232529894,0.0007318463527884885
Lunghezza (m),0.381,0.0002886751345948129,0.0007576775186215562
Gravità (m/s^2),9.788154504261243,0.020211449244560264,0.0020648886606521454
