Scala,T,T err,Incremento
0.5 s,1.24,0.0016666666666666668,0.005
1s,1.2377777777777779,0.0011111111111111111,0.01
2s 1° prova,1.24,0.0022222222222222222,0.02
2s 2° prova,1.24,0.0022222222222222222,0.02
2s 3° prova,1.24,0.0022222222222222222,0.02
2s 4°prova,1.24,0.0022222222222222222,0.02
