Sequence,Volt,Start,Increment
264,2.80000e+00,,
265,8.60000e+00,,
266,8.60000e+00,,
267,7.80000e+00,,
268,8.60000e+00,,
269,7.80000e+00,,
270,8.60000e+00,,
271,7.80000e+00,,
272,8.60000e+00,,
273,7.80000e+00,,
274,8.60000e+00,,
275,7.80000e+00,,
276,8.60000e+00,,
277,7.80000e+00,,
278,8.60000e+00,,
279,7.80000e+00,,
280,8.60000e+00,,
281,7.80000e+00,,
282,8.60000e+00,,
283,7.80000e+00,,
284,8.60000e+00,,
285,7.80000e+00,,
286,8.60000e+00,,
287,7.80000e+00,,
288,8.60000e+00,,
289,7.80000e+00,,
290,8.60000e+00,,
291,1.00000e+00,,
292,1.20000e+00,,
293,4.00000e-01,,
294,4.00000e-01,,
295,8.80000e+00,,
296,8.80000e+00,,
297,7.80000e+00,,
298,8.60000e+00,,
299,7.80000e+00,,
300,8.60000e+00,,
301,7.80000e+00,,
302,8.60000e+00,,
303,7.80000e+00,,
304,8.60000e+00,,
305,7.80000e+00,,
306,8.60000e+00,,
307,7.80000e+00,,
308,8.60000e+00,,
309,7.80000e+00,,
310,8.60000e+00,,
311,7.80000e+00,,
312,8.60000e+00,,
313,7.80000e+00,,
314,8.60000e+00,,
315,7.80000e+00,,
316,8.60000e+00,,
317,7.80000e+00,,
318,8.60000e+00,,
319,7.80000e+00,,
320,7.80000e+00,,
321,8.80000e+00,,
322,8.60000e+00,,
323,4.00000e-01,,
324,4.00000e-01,,
325,3.60000e+00,,
326,4.40000e+00,,
327,8.60000e+00,,
328,8.60000e+00,,
329,7.80000e+00,,
330,8.60000e+00,,
331,7.80000e+00,,
332,8.60000e+00,,
333,7.80000e+00,,
334,8.60000e+00,,
335,7.80000e+00,,
336,8.60000e+00,,
337,7.80000e+00,,
338,8.60000e+00,,
339,7.80000e+00,,
340,8.60000e+00,,
341,7.80000e+00,,
342,8.60000e+00,,
343,7.80000e+00,,
344,8.60000e+00,,
345,7.80000e+00,,
346,8.60000e+00,,
347,7.80000e+00,,
348,8.60000e+00,,
349,7.80000e+00,,
350,8.60000e+00,,
351,7.80000e+00,,
352,8.60000e+00,,
353,8.00000e-01,,
354,1.20000e+00,,
355,4.00000e-01,,
356,4.00000e-01,,
357,8.80000e+00,,
358,8.60000e+00,,
359,7.80000e+00,,
360,8.60000e+00,,
361,7.80000e+00,,
362,8.60000e+00,,
363,7.80000e+00,,
364,8.60000e+00,,
365,7.80000e+00,,
366,8.60000e+00,,
367,7.80000e+00,,
368,8.60000e+00,,
