FREQUENZA,,V_IN,,V_OUT
167,,3.11,,3.16
27600,,2.98,,3.16
49000,,2.98,,3.16
64800,,3.1,,2.88
96600,,3.39,,2.12
189900,,3.47,,1.2
347700,,3.47,,0.8
838600,,3.57,,0.8
