FREQUENZA,V_IN_min,V_IN_max,V_IN,V_OUT
173,1.28,1.19,2.47,5.52
2152,1.28,1.06,2.34,5.52
18600,1.24,1.16,2.4,5.52
30400,1.6,1.51,2.48,5.41
32700,1.32,1.24,2.56,5.4
54300,1.28,1.19,2.47,5.48
102900,1.64,1.63,3.27,2.08
242500,1.6,1.7,3.3,1.08
740800,,,3.36,0.68
