FREQUENZA,V_IN_MIN,V_IN_MAX,V_IN,V_OUT
217,1.56,1.39,2.95,1.44
57100,1.52,1.59,3.11,1.48
76700,1.56,1.5,3.06,1.48
118700,1.6,1.68,3.28,1.32
125500,1.96,1.77,3.73,2.12
203100,1.64,1.71,3.35,0.96
341800,1.64,1.73,3.37,0.84
516000,1.64,1.8,3.44,0.8
516000,1.68,1.76,3.44,0.8
