FREQUENZA [Hz],FREQ_err [Hz],V_IN [V],V_IN_err [V],V_OUT [V],V_OUT_err [V],G = V_OUT/V_IN,G_err
167,1,3.11,0.04,3.16,0.04,1.0160771704180065,0.018336040719388755
27600,100,2.98,0.04,3.16,0.04,1.0604026845637584,0.01956443805295971
49000,100,2.98,0.04,3.16,0.04,1.0604026845637584,0.01956443805295971
64800,100,3.1,0.04,2.88,0.04,0.9290322580645161,0.01761231683544456
96600,100,3.39,0.04,2.12,0.04,0.6253687315634219,0.013916732864812245
189900,100,3.47,0.04,1.2,0.04,0.34582132564841495,0.012197209555436402
347700,100,3.47,0.04,0.8,0.04,0.23054755043227665,0.01182976399870708
838600,100,3.57,0.04,0.8,0.04,0.22408963585434175,0.011482359090614555
