FREQUENZA,V_IN_MIN,V_IN_MAX,V_IN,V_OUT
0.73,1.84,1.71,3.55,7.6
3.63,1.84,1.72,3.56,7.52
1398,1.84,1.67,3.51,7.6
8300,1.92,1.71,3.63,7.6
21300,1.84,1.69,3.53,7.44
