FREQUENZE,V_IN,V_OUT
47,2.4,0.2
216,2.4,0.4
587,2.32,0.88
1094,2.24,1.52
1645,2.08,2.12
27100,1.8,2.88
QP41,0.52,4.2
QP42,1.32,3.56
QP43,0.36,4.20
QP44,0.4,2.08
QP45,1.08,3.68
QP46,1.52,2.52
QP47,1.76,1.72
