FREQUENZA,V_IN_MIN,V_IN_MAX,V_IN,V_OUT
QP26,1.56,1.39,2.95,1.44
QP27,1.56,1.5,3.06,1.48
QP28,1.6,1.68,3.28,1.32
QP29,1.64,1.73,3.37,0.84
QP30,1.64,1.8,3.44,0.8
QP31,1.68,1.76,3.44,0.8
QP32,1.96,1.77,3.73,2.12
QP33,1.64,1.71,3.35,0.96
QP34,1.52,1.59,3.11,1.48
