FREQUENZE,V_IN,V_OUT
47,2.4,0.2
216,2.4,0.4
587,2.32,0.88
1094,2.24,1.52
1645,2.08,2.12
4700,1.32,3.56
14000,0.52,4.2
18300,0.36,4.20
27100,1.8,2.88
27600,0.4,2.08
45000,1.08,3.68
70100,1.52,2.52
108600,1.76,1.72
