FREQUENZA,V_IN,V_OUT
173,2.47,5.52
2152,2.34,5.52
18600,2.4,5.52
30400,2.48,5.41
32700,2.56,5.4
54300,2.47,5.48
102900,3.27,2.08
242500,3.3,1.08
740800,3.36,0.68
