FREQUENZA,V_IN,V_OUT
216,1.68,0.76
2154,1.68,0.76
21600,1.68,0.76
181200,1.68,0.76
232000,1.72,0.68
275900,1.76,0.64
328400,1.76,0.60
518600,1.76,0.56
648600,1.76,0.52
895300,1.80,0.48
