FREQUENZA,V_IN,V_OUT
216,1.36,2.88
2154,1.36,2.88
21640,1.36,2.88
43400,1.36,2.88
106900,1.64,1.92
181500,1.72,1.24
209800,1.76,1.04
279700,1.8,0.8
434100,1.8,0.6
662600,1.8,0.48
