FREQUENZA,V_IN,V_OUT
217,2.95,1.44
5900,3.16,1.40
57100,3.11,1.48
76700,3.06,1.48
118700,3.28,1.32
125600,3.12,1.32
203100,3.35,0.96
341800,3.37,0.84
516000,3.44,0.8
