FREQUENZA,V_IN_MIN,V_IN_MAX,V_IN,V_OUT
167,1.56,1.55,3.11,3.16
27600,1.56,1.42,2.98,3.16
49000,1.56,1.42,2.98,3.16
64800,1.6,1.5,3.1,2.88
96600,1.68,1.71,3.39,2.12
189900,1.72,1.75,3.47,1.2
347700,1.72,1.75,3.47,0.8
838600,1.76,1.81,3.57,0.8
