FREQUENZA,V_IN,V_OUT
216,1.64,1.64
2155,1.64,1.64
21650,1.64,1.64
85500,1.64,1.64
148000,1.76,1.36
182700,1.76,1.16
209500,1.80,1.04
282200,1.80,0.76
429000,1.84,0.56
597000,1.84,0.48
